28-13 330 Pts,HP,,SnD,,CTR,,Total,,330,Pts,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FaZe,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,FaZe Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
Avg Diff,1.91,,2.25,,0.83,,,,,1,Major,2,SnD,Desert Siege,6,Ultra,1,FaZe,,4,Wk 3,3,Surge,0,FaZe,,Berlin,,1,0,3,2,0,0,,Berlin,,0,1,2,3,0,0,,Berlin,,1,2,1,1,1,3,,Berlin,,0,3,5,2,2,0,,Berlin,,0,0,0,0,0,0,,,,,
,,,,,,,,,,1,Major,3,Control,Tuscan,3,Ultra,1,FaZe,,4,Major,1,Thieves,3,Thieves,,Bocage,,5,0,0,0,0,0,,Bocage,,2,1,1,2,0,0,,Bocage,,4,3,3,2,0,0,,Bocage,,3,1,1,2,0,0,,Bocage,,0,0,0,0,0,0,,,,,
4-0,HP,,SnD,,CTR,,Total,,,1,Major,1,Hardpoint,Tuscan,250,Royal Ravens,177,FaZe,,4,Major,3,Legion,2,FaZe,,Desert Siege,,0,0,4,1,0,0,,Desert Siege,,0,0,1,1,0,0,,Desert Siege,,0,0,3,2,0,0,,Desert Siege,,0,0,0,0,0,0,,Desert Siege,,0,0,0,0,0,0,,,,,
Breach,W,L,W,L,W,L,W,L ,,1,Major,2,SnD,Desert Siege,5,Royal Ravens,6,Royal Ravens,,4,Major,3,Guerrillas,0,FaZe,,Gavutu,,3,3,0,0,1,3,,Gavutu,,6,1,0,0,3,4,,Gavutu,,1,1,0,0,3,0,,Gavutu,,2,2,0,0,1,0,,Gavutu,,0,0,0,0,0,0,,,,,
Berlin,0,0,0,1,1,0,1,1,,1,Major,3,Control,Tuscan,3,Royal Ravens,2,FaZe,,4,Major,3,Mutineers,1,FaZe,,Tuscan,,4,3,4,2,6,2,,Tuscan,,3,1,1,3,3,0,,Tuscan,,3,3,2,0,2,2,,Tuscan,,5,3,1,2,5,3,,Tuscan,,0,0,0,0,0,0,,,,,
Bocage,3,0,0,0,0,0,3,0,,1,Major,4,Hardpoint,Gavutu,250,Royal Ravens,172,FaZe,,4,Major,3,OpTic,1,FaZe,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
Desert Siege,0,0,2,0,0,0,2,0,,1,Major,1,Hardpoint,Gavutu,130,OpTic,250,OpTic,,4,Major,1,Thieves,3,Thieves,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
Gavutu,2,0,0,0,1,0,3,0,,1,Major,2,SnD,Desert Siege,6,OpTic,5,FaZe,,,Champs,,Subliners,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
Tuscan,0,0,1,0,2,0,3,0,,1,Major,3,Control,Gavutu,2,OpTic,3,OpTic,,,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,,1,Major,4,Hardpoint,Tuscan,212,OpTic,250,OpTic,,,,,,,,,Total W/L,,13,6,11,5,7,5,,Total W/L,,11,4,5,9,6,4,,Total W/L,,9,9,9,5,6,5,,Total W/L,,10,9,7,6,8,3,,Total W/L,,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,,1,Major,5,SnD,Tuscan,6,OpTic,3,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,1,Major,6,Control,Tuscan,2,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,1,Major,7,SnD,Berlin,4,OpTic,6,OpTic,,,,,,,,,Total Map Count,,,,Longest Streaks,,,,,Sweeps,,Swept,,Sweep W%,,,,G1,G2,G3,G4,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,5,0,3,1,4,0,12,1,,2,Wk 1,1,Hardpoint,Bocage,250,Surge,165,FaZe,,,,,,,,,Berlin,33,19.19%,,,,W,L,,10,,2,,83.33%,,,Total,41,41,41,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,100.00%,,75.00%,,100.00%,,92.31%,,,2,Wk 1,2,SnD,Tuscan,5,Surge,6,Surge,,,,,,,,,Bocage,30,17.44%,,Series,,6,2,,,,,,,,,Wins,27,22,26,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1250,,20,,12,,,,,2,Wk 1,3,Control,Gavutu,3,Surge,2,FaZe,,,,,,,,,Desert Siege,12,6.98%,,Games,,7,6,,SnD,,,,,,,,65.85%,53.66%,63.41%,55.17%,69.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,817,,15,,7,,,,,2,Wk 1,4,Hardpoint,Berlin,161,Surge,250,Surge,,,,,,,,,Gavutu,34,19.77%,,Hardpoint,,8,4,,Sweeps,,Swept,,Sweep W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,250.00,,5.00,,3.00,,,,,2,Wk 1,5,SnD,Berlin,2,Surge,6,Surge,,,,,,,,,Tuscan,63,36.63%,,SnD,,6,3,,3,,1,,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPGA,163.40,,3.75,,1.75,,,,,2,Wk 2,1,Hardpoint,Gavutu,250,Royal Ravens,194,FaZe,,,,,,,,,,0,0.00%,,Control,,7,3,,Round 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Diff,86.60,,1.25,,1.25,,,,,2,Wk 2,2,SnD,Bocage,6,Royal Ravens,2,FaZe,,,,,,,,,,0,0.00%,,,,,,,W,,L,,W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,Wk 2,3,Control,Gavutu,1,Royal Ravens,3,Royal Ravens,,,,,,,,,,0,0.00%,,Avg Pts in Hardpoint L's,,,,,6,,7,,46.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-0,HP,,SnD,,CTR,,Total,,,2,Wk 2,4,Hardpoint,Tuscan,250,Royal Ravens,236,FaZe,,,,,,,,,,0,0.00%,,200.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subliners,W,L,W,L,W,L,W,L ,,2,Wk 2,1,Hardpoint,Gavutu,250,Ultra,118,FaZe,,,,,,,,,Total,172,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,1,1,0,0,0,0,1,1,,2,Wk 2,2,SnD,Bocage,3,Ultra,6,Ultra,,,,,,,,,,,,,,,,,,Sweeps,,Swept,,Sweep W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,0,0,1,0,0,0,1,0,,2,Wk 2,3,Control,Gavutu,2,Ultra,3,Ultra,,,,,,,,,,,,,,,,,,6,,2,,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,0,0,0,0,0,0,,2,Wk 2,4,Hardpoint,Tuscan,250,Ultra,239,FaZe,,,,,,,,,,,,,,,,,,Round 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,1,0,0,0,2,1,3,1,,2,Wk 2,5,SnD,Berlin,6,Ultra,3,FaZe,,,,,,,,,,,,,,,,,,W,,L,,W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,2,0,2,0,0,0,4,0,,2,Wk 3,1,Hardpoint,Gavutu,250,Mutineers,165,FaZe,,,,,,,,,,,,,,,,,,13,,9,,59.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 3,2,SnD,Berlin,3,Mutineers,6,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 3,3,Control,Tuscan,3,Mutineers,1,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 3,4,Hardpoint,Bocage,250,Mutineers,199,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 3,1,Hardpoint,Gavutu,174,OpTic,250,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,4,1,3,0,2,1,9,2,,2,Wk 3,2,SnD,Tuscan,5,OpTic,6,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,80.00%,,100.00%,,66.67%,,81.82%,,,2,Wk 3,3,Control,Gavutu,1,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1229,,18,,8,,,,,2,Major,1,Hardpoint,Gavutu,250,Subliners,146,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1000,,11,,6,,,,,2,Major,2,SnD,Tuscan,6,Subliners,5,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,245.80,,6.00,,2.67,,,,,2,Major,3,Control,Gavutu,3,Subliners,2,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPGA,200.00,,3.67,,2.00,,,,,2,Major,1,Hardpoint,Tuscan,250,Surge,210,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Diff,45.80,,2.33,,0.67,,,,,2,Major,2,SnD,Tuscan,4,Surge,6,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,Major,3,Control,Gavutu,3,Surge,1,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-0,HP,,SnD,,CTR,,Total,,,2,Major,4,Hardpoint,Bocage,229,Surge,250,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra,W,L,W,L,W,L,W,L ,,2,Major,5,SnD,Berlin,6,Surge,5,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,0,0,1,1,0,0,1,1,,2,Major,1,Hardpoint,Gavutu,250,Breach,125,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,3,0,0,1,0,0,3,1,,2,Major,2,SnD,Desert Siege,6,Breach,3,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,1,1,0,0,1,1,,2,Major,3,Control,Tuscan,3,Breach,2,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,2,0,0,0,1,1,3,1,,2,Major,1,Hardpoint,Gavutu,250,Guerrillas,135,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,2,1,2,0,3,0,7,1,,2,Major,2,SnD,Bocage,4,Guerrillas,6,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,3,Control,Gavutu,2,Guerrillas,3,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,4,Hardpoint,Tuscan,227,Guerrillas,250,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,5,SnD,Desert Siege,1,Guerrillas,6,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,6,Control,Tuscan,3,Guerrillas,2,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,7,1,4,3,4,1,15,5,,2,Major,7,SnD,Berlin,4,Guerrillas,6,Guerrillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
