,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERALL,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
FaZe,8,7,53.33%,4.93,4.53,0.40,142,74,68,52.11%,75,52.82%,54,72.00%,70,33,37,47.14%,30,42.86%,20,66.67%,42,27,64.29%,30,19,63.33%,12,8,66.67%,72,41,31,56.94%,45,62.50%,34,75.56%,35,14,40.00%,22,10,45.45%,13,4,30.77%
Surge,7,7,50.00%,4.57,5.00,-0.43,134,64,70,47.76%,61,45.52%,43,70.49%,70,36,34,51.43%,31,44.29%,24,77.42%,34,23,67.65%,22,13,59.09%,12,10,83.33%,64,28,36,43.75%,30,46.88%,19,63.33%,29,10,34.48%,19,6,31.58%,10,4,40.00%
Rokkr,6,7,46.15%,4.92,4.54,0.38,123,64,59,52.03%,65,52.85%,52,80.00%,64,33,31,51.56%,31,48.44%,23,74.19%,28,21,75.00%,19,13,68.42%,9,8,88.89%,59,31,28,52.54%,34,57.63%,29,85.29%,33,10,30.30%,22,8,36.36%,11,2,18.18%
Breach,5,6,45.45%,4.82,4.55,0.27,103,53,50,51.46%,51,49.51%,38,74.51%,50,27,23,54.00%,24,48.00%,19,79.17%,29,21,72.41%,23,18,78.26%,6,3,50.00%,53,26,27,49.06%,27,50.94%,19,70.37%,26,8,30.77%,20,7,35.00%,6,1,16.67%
Mutineers,4,5,44.44%,5.00,5.00,0.00,90,45,45,50.00%,45,50.00%,33,73.33%,46,21,25,45.65%,25,54.35%,16,64.00%,25,17,68.00%,19,13,68.42%,6,4,66.67%,44,24,20,54.55%,20,45.45%,17,85.00%,22,8,36.36%,13,4,30.77%,9,4,44.44%
Subliners,2,8,20.00%,3.70,5.80,-2.10,95,37,58,38.95%,39,41.05%,24,61.54%,48,20,28,41.67%,15,31.25%,11,73.33%,23,16,69.57%,20,14,70.00%,3,2,66.67%,47,17,30,36.17%,24,51.06%,13,54.17%,30,5,16.67%,22,5,22.73%,8,0,0.00%
Royal Ravens,0,5,0.00%,2.60,6.00,-3.40,43,13,30,30.23%,15,34.88%,7,46.67%,20,5,15,25.00%,8,40.00%,3,37.50%,10,4,40.00%,6,2,33.33%,4,2,50.00%,23,8,15,34.78%,7,30.43%,4,57.14%,11,2,18.18%,7,2,28.57%,4,0,0.00%
Matches Played,69,,,,Totals,,Rounds,,646,,FBW,474,FBW%,73.37%,646,325,321,50.31%,301,46.59%,227,75.42%,334,225,67.37%,230,153,66.52%,104,72,69.23%,646,321,325,49.69%,345,53.41%,247,71.59%,334,109,32.63%,230,77,33.48%,104,32,30.77%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
