24-12 265 Pts,HP,,SnD,,CTR,,Total,,,,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpTic,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,OpTic Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
Breach,W,L,W,L,W,L,W,L ,,1,Major,6,Control,Tuscan,3,FaZe,2,OpTic,,,,,,,,,Gavutu,,2,1,0,0,3,0,,Gavutu,,3,1,0,0,3,0,,Gavutu,,3,0,0,0,0,0,,Gavutu,,2,0,0,0,0,1,,Gavutu,,0,0,0,0,0,0,,,,,
Berlin,0,0,0,1,0,0,0,1,,1,Major,7,SnD,Berlin,6,FaZe,4,OpTic,,,,,,,,,Tuscan,,4,0,3,2,6,1,,Tuscan,,2,1,3,1,5,1,,Tuscan,,1,2,1,0,2,1,,Tuscan,,2,2,3,0,2,4,,Tuscan,,0,0,0,0,0,0,,,,,
Bocage,0,2,1,0,0,0,1,2,,2,Wk 1,1,Hardpoint,Tuscan,250,Thieves,96,OpTic,,,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
Desert Siege,0,0,0,0,0,0,0,0,,2,Wk 1,2,SnD,Desert Siege,0,Thieves,6,Thieves,,,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
Gavutu,1,1,0,0,1,0,2,1,,2,Wk 1,3,Control,Tuscan,3,Thieves,0,OpTic,,,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
Tuscan,2,0,2,0,1,1,5,1,,2,Wk 1,4,Hardpoint,Berlin,205,Thieves,250,Thieves,,,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 1,5,SnD,Tuscan,6,Thieves,5,OpTic,,,,,,,,,Total W/L,,10,5,8,6,9,1,,Total W/L,,8,6,6,5,8,1,,Total W/L,,9,4,6,4,7,2,,Total W/L,,8,10,9,4,2,7,,Total W/L,,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 2,1,Hardpoint,Bocage,207,Surge,250,Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 2,2,SnD,Bocage,6,Surge,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Wk 2,3,Control,Tuscan,3,Surge,2,OpTic,,,,,,,,,Total Map Count,,,,Longest Streaks,,,,,Sweeps,,Swept,,Sweep W%,,,,G1,G2,G3,G4,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,3,3,3,1,2,1,8,5,,2,Wk 2,4,Hardpoint,Tuscan,250,Surge,240,OpTic,,,,,,,,,Berlin,42,28.97%,,,,W,L,,11,,1,,91.67%,,,Total,36,36,36,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,50.00%,,75.00%,,66.67%,,61.54%,,,2,Wk 2,1,Hardpoint,Bocage,210,Mutineers,193,OpTic,,,,,,,,,Bocage,31,21.38%,,Series,,12,3,,,,,,,,,Wins,22,23,25,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,1363,,21,,6,,,,,2,Wk 2,2,SnD,Berlin,6,Mutineers,3,OpTic,,,,,,,,,Desert Siege,4,2.76%,,Games,,12,5,,SnD,,,,,,,,61.11%,63.89%,69.44%,54.17%,45.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1329,,18,,4,,,,,2,Wk 2,3,Control,Tuscan,3,Mutineers,2,OpTic,,,,,,,,,Gavutu,19,13.10%,,Hardpoint,,4,3,,Sweeps,,Swept,,Sweep W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,227.17,,5.25,,2.00,,,,,2,Wk 3,1,Hardpoint,Gavutu,250,Guerrillas,210,OpTic,,,,,,,,,Tuscan,49,33.79%,,SnD,,5,3,,2,,1,,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPGA,221.50,,4.50,,1.33,,,,,2,Wk 3,2,SnD,Desert Siege,6,Guerrillas,2,OpTic,,,,,,,,,,0,0.00%,,Control,,14,4,,Round 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Diff,5.67,,0.75,,0.67,,,,,2,Wk 3,3,Control,Gavutu,3,Guerrillas,2,OpTic,,,,,,,,,,0,0.00%,,,,,,,W,,L,,W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,Wk 3,1,Hardpoint,Gavutu,250,FaZe,174,OpTic,,,,,,,,,,0,0.00%,,Avg Pts in Hardpoint L's,,,,,8,,7,,53.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-2,HP,,SnD,,CTR,,Total,,,2,Wk 3,2,SnD,Tuscan,6,FaZe,5,OpTic,,,,,,,,,,0,0.00%,,195.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subliners,W,L,W,L,W,L,W,L ,,2,Wk 3,3,Control,Gavutu,3,FaZe,1,OpTic,,,,,,,,,Total,145,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,0,2,0,1,0,1,0,4,,2,Major,1,Hardpoint,Bocage,159,Surge,250,Surge,,,,,,,,,,,,,,,,,,Sweeps,,Swept,,Sweep W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,0,1,1,0,0,0,1,1,,2,Major,2,SnD,Tuscan,4,Surge,6,Surge,,,,,,,,,,,,,,,,,,7,,3,,70.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,0,0,0,0,0,0,,2,Major,3,Control,Tuscan,1,Surge,3,Surge,,,,,,,,,,,,,,,,,,Round 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,0,0,0,0,0,0,0,0,,2,Major,1,Hardpoint,Gavutu,250,Rokkr,144,OpTic,,,,,,,,,,,,,,,,,,W,,L,,W%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,0,1,0,0,1,0,1,1,,2,Major,2,SnD,Desert Siege,4,Rokkr,6,Rokkr,,,,,,,,,,,,,,,,,,9,,2,,81.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,3,Control,Tuscan,3,Rokkr,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
