Game Details,,,,,,,,,,,Match Details,,,,,,,,Overall Standings,,,,,,,,,,,,,Share the link ~~~>,,https://bit.ly/3sBKa1R,,
Stage,Event,Game,Mode,Map ,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,,Stage,Event/Link,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,,Rank,Team,Total Pts,Stage Pts,Major Pts,Major Wins,W,L,W%,GW,GL,GW%,,,,,,
1,Wk 2,1,Hardpoint,Bocage,Ultra,245,Guerrillas,239,Ultra,,2,Wk 1,Royal Ravens,3,Thieves,0,Royal Ravens,,6,FaZe,3,2,60.00%,10,8,55.56%,30,,Mutineers,,,,Thieves,20,16,55.56%
1,Wk 2,2,SnD,Tuscan,Ultra,6,Guerrillas,4,Ultra,,2,Wk 1,Rokkr,1,Ultra,3,Ultra,,7,Mutineers,2,3,40.00%,8,12,40.00%,20,7-8,Rokkr,,10,,Ultra,18,16,52.94%
1,Wk 2,3,Control,Tuscan,Ultra,3,Guerrillas,2,Ultra,,2,Wk 1,FaZe,2,Surge,3,Surge,,8,Thieves,2,3,40.00%,6,9,40.00%,20,,Royal Ravens,,,,Rokkr,14,14,50.00%
1,Wk 2,1,Hardpoint,Bocage,Subliners,206,Thieves,250,Thieves,,2,Wk 1,Rokkr,3,Legion,2,Rokkr,,9,Breach,1,4,20.00%,6,13,31.58%,10,9-12,Breach,,0,,Mutineers,15,16,48.39%
1,Wk 2,2,SnD,Tuscan,Subliners,6,Thieves,5,Subliners,,2,Wk 1,Subliners,0,Mutineers,3,Mutineers,,10,Guerrillas,1,4,20.00%,5,14,26.32%,10,,Legion,,,,Subliners,14,16,46.67%
1,Wk 2,3,Control,Gavutu,Subliners,1,Thieves,3,Thieves,,2,Wk 1,Thieves,2,OpTic,3,OpTic,,11,Royal Ravens,1,4,20.00%,5,14,26.32%,10,,Guerrillas,,,,Breach,13,19,40.63%
1,Wk 2,4,Hardpoint,Gavutu,Subliners,218,Thieves,250,Thieves,,2,Wk 2,Royal Ravens,3,Legion,2,Royal Ravens,,12,Legion,0,5,0.00%,5,15,25.00%,0,,Subliners,,,,Royal Ravens,11,20,35.48%
1,Wk 2,1,Hardpoint,Berlin,Rokkr,138,Royal Ravens,250,Royal Ravens,,2,Wk 2,Surge,1,OpTic,3,OpTic,,,,,,,,,,,,,,,,Guerrillas,11,22,33.33%
1,Wk 2,2,SnD,Berlin,Rokkr,2,Royal Ravens,6,Royal Ravens,,2,Wk 2,Rokkr,0,Breach,3,Breach,,Stage 4 Qualifiers,,,,,,,,,Stage 4 Major Results,,,,,Legion,8,17,32.00%
1,Wk 2,3,Control,Tuscan,Rokkr,3,Royal Ravens,1,Rokkr,,2,Wk 2,FaZe,3,Royal Ravens,1,FaZe,,Rank,TEAM,W,L,Win%,GW,GL,GW%,Pts,Place ,Team,,Points,,,,,
1,Wk 2,4,Hardpoint,Tuscan,Rokkr,223,Royal Ravens,250,Royal Ravens,,2,Wk 2,Subliners,3,Legion,1,Subliners,,1,Subliners,4,1,80.00%,14,7,66.67%,40,1,Thieves,,65,,,,,
1,Wk 2,1,Hardpoint,Bocage,Legion,161,OpTic,228,OpTic,,2,Wk 2,Mutineers,0,OpTic,3,OpTic,,2,Royal Ravens,4,1,80.00%,14,7,66.67%,40,2,Subliners,,50,,,,,
1,Wk 2,2,SnD,Berlin,Legion,3,OpTic,6,OpTic,,2,Wk 2,Breach,3,Ultra,2,Breach,,3,Breach,4,1,80.00%,12,9,57.14%,40,3,FaZe,,40,,,,,
