,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERALL,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA
Legion,3,8,27.27%,1.55,2.36,-0.82,43,17,26,39.53%,278,6.47,23,5,18,21.74%,21,5,23.81%,4,4,100.00%,4,80.00%,1,20.00%,136,5.91,89,3.87,20,12,8,60.00%,1,11,8,66.67%,4,33.33%,142,7.10,86,4.30
Royal Ravens,2,8,20.00%,1.40,2.70,-1.30,41,14,27,34.15%,208,5.07,21,2,19,9.52%,20,2,10.00%,2,2,100.00%,2,100.00%,0,0.00%,91,4.33,76,3.62,20,12,8,60.00%,0,11,9,75.00%,3,25.00%,117,5.85,85,4.25
Matches Played,94,,,,,,Total Rds,399,Total LL,4982,Avg LL,12.49,399,99,300,24.81%,373,96,25.74%,56,55,98.21%,52,52.53%,47,47.47%,1965,4.92,1534,3.84,399,300,101,75.19%,23,296,239,79.67%,61,20.33%,3017,7.56,1534,3.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERLIN,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA
Surge,6,2,75.00%,2.75,1.25,1.50,32,22,10,68.75%,234,7.31,15,10,5,66.67%,7,7,100.00%,15,10,66.67%,7,70.00%,3,30.00%,102,6.80,74,4.93,17,12,5,70.59%,12,1,3,25.00%,9,75.00%,132,7.76,67,3.94
Thieves,8,4,66.67%,2.33,1.33,1.00,44,28,16,63.64%,306,6.95,24,15,9,62.50%,12,12,100.00%,24,15,62.50%,12,80.00%,3,20.00%,197,8.21,119,4.96,20,13,7,65.00%,12,2,5,38.46%,8,61.54%,109,5.45,87,4.35
OpTic,5,3,62.50%,2.00,1.63,0.38,29,16,13,55.17%,233,8.03,15,7,8,46.67%,5,5,100.00%,15,7,46.67%,5,71.43%,2,28.57%,100,6.67,71,4.73,14,9,5,64.29%,9,0,8,88.89%,1,11.11%,133,9.50,63,4.50
Ultra,5,3,62.50%,2.13,1.63,0.50,30,17,13,56.67%,194,6.47,14,8,6,57.14%,5,5,100.00%,14,8,57.14%,5,62.50%,3,37.50%,103,7.36,70,5.00,16,9,7,56.25%,9,0,6,66.67%,3,33.33%,91,5.69,76,4.75
Rokkr,3,2,60.00%,2.20,2.20,0.00,22,11,11,50.00%,133,6.05,13,6,7,46.15%,4,3,75.00%,11,6,54.55%,3,50.00%,3,50.00%,57,4.38,56,4.31,9,5,4,55.56%,5,0,3,60.00%,2,40.00%,76,8.44,45,5.00
FaZe,3,3,50.00%,2.17,2.17,0.00,26,13,13,50.00%,187,7.19,13,6,7,46.15%,4,4,100.00%,13,6,46.15%,4,66.67%,2,33.33%,86,6.62,57,4.38,13,7,6,53.85%,6,0,6,85.71%,1,14.29%,101,7.77,62,4.77
Subliners,3,4,42.86%,1.71,2.00,-0.29,26,12,14,46.15%,157,6.04,10,3,7,30.00%,3,2,66.67%,9,3,33.33%,2,66.67%,1,33.33%,54,5.40,46,4.60,16,9,7,56.25%,8,1,6,66.67%,3,33.33%,103,6.44,68,4.25
Breach,1,2,33.33%,1.67,2.00,-0.33,11,5,6,45.45%,89,8.09,6,3,3,50.00%,1,1,100.00%,6,3,50.00%,1,33.33%,2,66.67%,54,9.00,26,4.33,5,2,3,40.00%,2,0,2,100.00%,0,0.00%,35,7.00,24,4.80
Royal Ravens,2,5,28.57%,1.14,2.57,-1.43,26,8,18,30.77%,143,5.50,14,6,8,42.86%,6,6,100.00%,14,6,42.86%,6,100.00%,0,0.00%,90,6.43,66,4.71,12,2,10,16.67%,1,0,2,100.00%,0,0.00%,53,4.42,62,5.17
Guerrillas,1,4,20.00%,1.60,2.60,-1.00,21,8,13,38.10%,137,6.52,10,2,8,20.00%,2,1,50.00%,9,2,22.22%,1,50.00%,1,50.00%,59,5.90,41,4.10,11,6,5,54.55%,6,0,5,83.33%,1,16.67%,78,7.09,55,5.00
Mutineers,0,1,0.00%,1.00,3.00,-2.00,4,1,3,25.00%,22,5.50,2,0,2,0.00%,0,0,,2,0,0.00%,0,,0,,12,6.00,7,3.50,2,1,1,50.00%,1,0,1,100.00%,0,0.00%,10,5.00,8,4.00
Legion,0,4,0.00%,0.50,3.00,-2.50,14,2,12,14.29%,89,6.36,7,1,6,14.29%,1,1,100.00%,6,1,16.67%,1,100.00%,0,0.00%,40,5.71,24,3.43,7,1,6,14.29%,1,0,0,0.00%,1,100.00%,49,7.00,40,5.71
Matches Played,37,Stats Updated to Reflect New Site Designations,,,,,Total Rds,143,Total LL,1924,Avg LL,13.45,143,67,76,46.85%,50,47,94.00%,138,67,48.55%,47,70.15%,20,29.85%,954,6.67,657,4.59,142,76,66,53.52%,72,4,47,61.84%,29,38.16%,970,6.83,657,4.63
